client_id,user_id,device_id,total_windows,train_windows,validation_windows,test_windows,train_classes,validation_classes,test_classes,supported_test_classes,training_client,primary_metric_client
user=a|device=nexus4_1,a,nexus4_1,473,306,71,96,4,2,2,2,True,False
user=a|device=nexus4_2,a,nexus4_2,466,296,81,89,4,2,2,2,True,False
user=a|device=s3_1,a,s3_1,512,315,99,98,4,2,2,2,True,False
user=a|device=s3_2,a,s3_2,500,309,95,96,4,2,2,2,True,False
user=a|device=s3mini_1,a,s3mini_1,487,303,94,90,4,2,2,2,True,False
user=a|device=s3mini_2,a,s3mini_2,30,8,1,21,3,1,1,1,True,False
user=a|device=samsungold_1,a,samsungold_1,551,329,115,107,4,2,2,2,True,False
user=a|device=samsungold_2,a,samsungold_2,551,329,115,107,4,2,2,2,True,False
user=b|device=nexus4_1,b,nexus4_1,483,300,94,89,4,3,3,3,True,True
user=b|device=nexus4_2,b,nexus4_2,499,329,78,92,4,3,3,3,True,True
user=b|device=s3_1,b,s3_1,558,333,110,115,4,3,3,3,True,True
user=b|device=s3_2,b,s3_2,556,329,114,113,4,3,3,3,True,True
user=b|device=s3mini_1,b,s3mini_1,531,320,106,105,4,3,3,3,True,True
user=b|device=samsungold_1,b,samsungold_1,625,363,128,134,4,3,3,3,True,True
user=b|device=samsungold_2,b,samsungold_2,625,363,128,134,4,3,3,3,True,True
user=c|device=nexus4_1,c,nexus4_1,422,267,94,61,4,2,2,2,True,False
user=c|device=nexus4_2,c,nexus4_2,460,286,95,79,4,2,2,2,True,False
user=c|device=s3_1,c,s3_1,505,302,104,99,4,2,2,2,True,False
user=c|device=s3_2,c,s3_2,496,297,108,91,4,2,2,2,True,False
user=c|device=s3mini_1,c,s3mini_1,462,278,101,83,4,2,2,2,True,False
user=c|device=s3mini_2,c,s3mini_2,59,43,3,13,4,1,2,2,True,False
user=c|device=samsungold_1,c,samsungold_1,565,331,111,123,4,2,2,2,True,False
user=c|device=samsungold_2,c,samsungold_2,565,331,111,123,4,2,2,2,True,False
user=d|device=nexus4_1,d,nexus4_1,475,301,79,95,4,2,2,2,True,False
user=d|device=nexus4_2,d,nexus4_2,483,300,98,85,4,2,2,2,True,False
user=d|device=s3_1,d,s3_1,506,316,91,99,4,2,2,2,True,False
user=d|device=s3_2,d,s3_2,494,307,92,95,4,2,2,2,True,False
user=d|device=s3mini_1,d,s3mini_1,483,313,84,86,4,2,2,2,True,False
user=d|device=samsungold_1,d,samsungold_1,543,330,108,105,4,2,2,2,True,False
user=d|device=samsungold_2,d,samsungold_2,543,330,108,105,4,2,2,2,True,False
user=e|device=nexus4_1,e,nexus4_1,479,295,83,101,5,2,2,2,True,False
user=e|device=nexus4_2,e,nexus4_2,535,330,97,108,5,2,2,2,True,False
user=e|device=s3_1,e,s3_1,546,336,103,107,5,2,2,2,True,False
user=e|device=s3_2,e,s3_2,535,328,99,108,5,2,2,2,True,False
user=e|device=s3mini_1,e,s3mini_1,516,316,91,109,5,2,2,2,True,False
user=e|device=s3mini_2,e,s3mini_2,11,7,3,1,2,1,1,0,True,False
user=e|device=samsungold_1,e,samsungold_1,596,361,121,114,5,2,2,2,True,False
user=e|device=samsungold_2,e,samsungold_2,596,361,121,114,5,2,2,2,True,False
user=f|device=nexus4_1,f,nexus4_1,507,324,90,93,5,2,2,2,True,False
user=f|device=nexus4_2,f,nexus4_2,491,313,76,102,5,2,2,2,True,False
user=f|device=s3_2,f,s3_2,537,341,95,101,5,2,2,2,True,False
user=f|device=s3mini_1,f,s3mini_1,521,326,92,103,5,2,2,2,True,False
user=f|device=s3mini_2,f,s3mini_2,76,48,22,6,3,2,1,1,True,False
user=f|device=samsungold_1,f,samsungold_1,615,384,112,119,5,2,2,2,True,False
user=f|device=samsungold_2,f,samsungold_2,615,384,112,119,5,2,2,2,True,False
user=g|device=nexus4_1,g,nexus4_1,465,287,99,79,4,1,3,3,True,True
user=g|device=nexus4_2,g,nexus4_2,478,278,111,89,4,1,3,3,True,True
user=g|device=s3_1,g,s3_1,547,336,112,99,4,1,3,3,True,True
user=g|device=s3_2,g,s3_2,533,330,111,92,4,1,3,3,True,True
user=g|device=s3mini_1,g,s3mini_1,516,326,107,83,4,1,3,3,True,True
user=g|device=s3mini_2,g,s3mini_2,60,44,16,0,4,1,0,0,True,False
user=g|device=samsungold_1,g,samsungold_1,601,367,114,120,4,1,3,3,True,True
user=g|device=samsungold_2,g,samsungold_2,601,367,114,120,4,1,3,3,True,True
user=h|device=nexus4_1,h,nexus4_1,444,274,90,80,5,2,2,2,True,False
user=h|device=nexus4_2,h,nexus4_2,451,280,93,78,5,2,2,2,True,False
user=h|device=s3_1,h,s3_1,510,321,98,91,5,2,2,2,True,False
user=h|device=s3_2,h,s3_2,507,320,98,89,5,2,2,2,True,False
user=h|device=s3mini_1,h,s3mini_1,493,313,95,85,5,2,2,2,True,False
user=h|device=s3mini_2,h,s3mini_2,77,38,22,17,4,2,2,2,True,False
user=h|device=samsungold_1,h,samsungold_1,568,360,105,103,5,2,2,2,True,False
user=h|device=samsungold_2,h,samsungold_2,568,360,105,103,5,2,2,2,True,False
user=i|device=nexus4_1,i,nexus4_1,501,297,101,103,4,2,1,1,True,False
user=i|device=nexus4_2,i,nexus4_2,525,325,96,104,4,2,1,1,True,False
user=i|device=s3_1,i,s3_1,552,350,100,102,4,2,1,1,True,False
user=i|device=s3_2,i,s3_2,552,345,103,104,4,2,1,1,True,False
user=i|device=s3mini_1,i,s3mini_1,529,324,101,104,4,2,1,1,True,False
user=i|device=s3mini_2,i,s3mini_2,46,14,9,23,1,1,1,1,True,False
user=i|device=samsungold_1,i,samsungold_1,616,395,117,104,4,2,1,1,True,False
user=i|device=samsungold_2,i,samsungold_2,616,395,117,104,4,2,1,1,True,False
